입국자국가,국가코드,입국연월,입국자 수
중국,112,201901,392814
중국,112,201902,453379
중국,112,201903,487623
중국,112,201904,493250
중국,112,201905,500413
중국,112,201906,475007
중국,112,201907,519132
중국,112,201908,578112
중국,112,201909,541350
중국,112,201910,567695
중국,112,201911,505369
중국,112,201912,508877
중국,112,202001,481681
중국,112,202002,104086
중국,112,202003,16595
중국,112,202004,3935
중국,112,202005,5124
중국,112,202006,5051
중국,112,202007,9738
중국,112,202008,16275
중국,112,202009,15307
중국,112,202010,11477
중국,112,202011,9174
중국,112,202012,7987
중국,112,202101,7346
중국,112,202102,11982
중국,112,202103,18980
중국,112,202104,16830
중국,112,202105,14221
중국,112,202106,12942
중국,112,202107,13469
중국,112,202108,17103
중국,112,202109,19144
중국,112,202110,14035
중국,112,202111,12472
중국,112,202112,11691
중국,112,202201,9489
중국,112,202202,16752
중국,112,202203,14726
중국,112,202204,10230
중국,112,202205,11253
중국,112,202206,12741
중국,112,202207,17907
중국,112,202208,30248
중국,112,202209,29531
중국,112,202210,22940
중국,112,202211,24174
중국,112,202212,27367
중국,112,202301,24946
중국,112,202302,45884
중국,112,202303,73390
중국,112,202304,105967
중국,112,202305,128171
중국,112,202306,168035
중국,112,202307,224805
중국,112,202308,259659
중국,112,202309,263940
중국,112,202310,249483
중국,112,202311,221469
중국,112,202312,253675
